"","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"fitted.Predictor.00076",0.0249743505269051,0.00494338339323359,0.0166472370229745,0.0245059999866047,0.0359956928830624,0.0236347040704557
"fitted.Predictor.00077",0.0764371552464497,0.00873271841667299,0.0604529719322536,0.076016584857065,0.0948746334159852,0.0752665141240817
"fitted.Predictor.00078",0.0148026048952328,0.00347804270638999,0.00910224194250765,0.0144250634121363,0.0226614359330145,0.0136957993057707
"fitted.Predictor.00079",0.0517383552852402,0.00576478982701752,0.0409571053198213,0.051539939884784,0.063742282968873,0.0512406982668511
"fitted.Predictor.00080",0.016311854076514,0.00380705042450464,0.0100619605323312,0.0159019799260693,0.0249050195377444,0.0151095024516539
"fitted.Predictor.00081",0.0567985336726159,0.0061697171097085,0.0452046465987444,0.0566023716175985,0.0696143162296495,0.0563233719643008
"fitted.Predictor.00082",0.0550565756531683,0.00736567762947399,0.0418603621486997,0.0546163880928387,0.0707871127502669,0.0537899548891724
"fitted.Predictor.00083",0.0493205456018768,0.00648595311951318,0.0376836313877559,0.0489369421230749,0.0631737971600566,0.0482301220195047
"fitted.Predictor.00084",0.0635242881878519,0.00734732331599418,0.0501311977019287,0.0631521684133952,0.0790833207141601,0.0624844153788291
"fitted.Predictor.00085",0.0216520770894081,0.00504011124327802,0.0133657360855395,0.02111338832272,0.0330170717132132,0.0200701347574687
"fitted.Predictor.00086",0.0721442925455643,0.00953798052316242,0.0550019030241993,0.0715929489590295,0.0924585683499474,0.0705547154119974
"fitted.Predictor.00087",0.0235251766093366,0.00550157505092283,0.0144856962712827,0.0229353094967496,0.0359351475729034,0.021792748028683
"fitted.Predictor.00088",0.0268802309171436,0.00651469862180872,0.0162432356274484,0.0261600240321462,0.0416332923072648,0.0247699872330708
"fitted.Predictor.00089",0.0908565910811219,0.00835636284407332,0.0751487581616277,0.090604708825633,0.108048243625583,0.090165111421638
"fitted.Predictor.00090",0.112229442546003,0.0127884688756101,0.088794199914664,0.111653785007315,0.138978115321552,0.110548904123048
"fitted.Predictor.00091",0.206501627769711,0.0190012285352084,0.170283045644796,0.206127783973572,0.244932088541292,0.205474289094801
