"","param","mean","sd","lower","upper"
"201",201,-0.113903463546597,0.12233409746661,-0.36448679393478,0.121174785118716
"202",202,-0.136384818189959,0.130952817312718,-0.406557455334775,0.110711286536185
"203",203,-0.115839743593406,0.11514238179046,-0.352491933709669,0.103893199496746
"204",204,-0.105999952320657,0.116003529519437,-0.345064672742637,0.115836171183574
"205",205,-0.119693076995342,0.1153206415432,-0.355924091704301,0.100249263940198
"206",206,-0.0943833893806803,0.115317445348705,-0.33096545755051,0.129161786576151
"207",207,-0.0654092072232795,0.106765008751397,-0.281037735426287,0.146077715880264
"208",208,-0.129237948023091,0.127667295121937,-0.39272421837542,0.112271511065587
"209",209,-0.0440236302863424,0.1216207588572,-0.290065190821808,0.198907630510622
"210",210,-0.094936270815182,0.107123646875631,-0.315567507286242,0.108415335663839
"211",211,-0.0910584154403116,0.100968422427512,-0.29840499368775,0.101991121251665
"212",212,-0.0581476777259716,0.102116280705301,-0.26711027272026,0.14117676348933
"213",213,-0.052721287790141,0.115478645088196,-0.286686784416153,0.17707797246767
"214",214,-0.143022673710895,0.136932884589464,-0.426047451854367,0.112246956546287
"215",215,-0.00961767000711134,0.11806418783807,-0.244865709902726,0.229186589893839
"216",216,-0.0747639159765962,0.108345789138647,-0.295644753122202,0.137736988576516
"217",217,-0.0799584250823239,0.122525149321156,-0.3312060856277,0.159352195598098
"218",218,-0.0355003396280748,0.120227118905462,-0.278373142790399,0.20523526001134
"219",219,-0.0703725810469185,0.139581954993954,-0.351546995202564,0.206619543494075
"220",220,-0.0680695469725758,0.144456847806581,-0.359332113150384,0.219767277392717
"221",221,-0.0513380193385996,0.138226324386244,-0.328059317369231,0.22604382095481
"222",222,-0.0662291824776691,0.122076119377735,-0.311224134207269,0.177331743000547
"223",223,-0.0560307922802859,0.147968950066581,-0.352871049943726,0.240631626914343
"224",224,-0.0026568871314868,0.125891316233686,-0.249001780300947,0.252641518219106
"225",225,-0.0908143296762367,0.121878191860316,-0.339226395066905,0.147829673755419
"226",226,-0.0262045829151353,0.118652482796599,-0.26164964358214,0.213947164991113
"227",227,-0.0842165619114144,0.121346498534884,-0.329640029043132,0.153852237044645
"228",228,-0.0981982620799511,0.107433261639743,-0.317491976493721,0.109847523973651
"229",229,-0.0984339945138377,0.0854984766297391,-0.271273518686535,0.0660799110206223
"230",230,-0.0480774941427887,0.119084228082752,-0.288260374065255,0.189895694219039
"231",231,-0.107073535810576,0.117626223197419,-0.34772703544261,0.11949286086565
"232",232,-0.116860891312415,0.106162664952855,-0.331895593166233,0.0867662914053467
"233",233,-0.00703693875279157,0.136095229965297,-0.277744685436293,0.268981240734835
"234",234,-0.082828285539423,0.121500385461452,-0.32981940826734,0.156327950621768
"235",235,-0.0839357154289233,0.111145791035351,-0.310300263702899,0.133438045787879
"236",236,-0.0748650067428186,0.130889490589543,-0.340251068828819,0.184698436808806
"237",237,-0.0350638984938409,0.118107758909742,-0.271539483812683,0.20238389995842
"238",238,-0.0546978444601729,0.119374487969505,-0.293321141928632,0.184021255458867
"239",239,-0.0718123118017231,0.095943039640669,-0.264871521431339,0.117702191357694
"240",240,-0.0602068542790776,0.115991275173443,-0.292214344136949,0.171993578751518
"241",241,-0.00164517023677677,0.114793728610784,-0.223282515781884,0.232932832628322
"242",242,-0.075862990461658,0.119910835549293,-0.318442518346883,0.160347364569667
"243",243,-0.0232089851509292,0.184777238761035,-0.390572983458749,0.35061935543644
"244",244,-0.0472259173479589,0.115407818015868,-0.278085212303081,0.183689542680591
"245",245,-0.0456461353532245,0.138514457537672,-0.32295448416208,0.23246824375664
"246",246,-0.033717819358599,0.121153141265893,-0.273957682618746,0.210467574133138
"247",247,-0.0379483058365638,0.137761173852574,-0.312756788510131,0.239332113531803
"248",248,-0.109572719085582,0.134907728419522,-0.386325683761771,0.151392815506241
"249",249,-0.0472120267432975,0.138409325005072,-0.3246910685052,0.230425507975744
"250",250,-0.0273492244284697,0.109093232207471,-0.242886531284448,0.192299426544597
"251",251,-0.0729065324085328,0.102727970246188,-0.280440567660882,0.129582004181166
"252",252,-0.0275455264840796,0.11056381652828,-0.251684145861917,0.191548825017149
"253",253,-0.0647114098297632,0.106291066796639,-0.283111984834945,0.139130599651025
"254",254,-0.0281088605633995,0.105163262637602,-0.238939771676446,0.183415395876977
"255",255,-0.0341747384969939,0.154304668364567,-0.347315659742113,0.273026546219411
"256",256,0.00216246256972506,0.109617507919134,-0.214696581743876,0.223872253664585
"257",257,-0.0201161026296748,0.157563296697956,-0.337298536784343,0.296361989381323
"258",258,-0.0552019113151095,0.102583864723483,-0.263810246241549,0.144874180049046
"259",259,0.169777920575928,0.134641698068692,-0.0911400333473735,0.441094238063574
"260",260,0.100378266246774,0.105513880557777,-0.109055898666926,0.311017646709074
"261",261,0.200390927563158,0.132291241012474,-0.0516426285093763,0.466708482763627
"262",262,0.163347610043588,0.11339585108857,-0.0551156588061898,0.390948392398649
"263",263,0.155426869412204,0.142333758608328,-0.120821252839574,0.441953911888302
"264",264,0.0972186099119111,0.117706204874769,-0.137443045388208,0.332464440944156
"265",265,0.0756040681166637,0.0997681222823256,-0.123593534021293,0.2719513559213
"266",266,0.11637974964305,0.119527329110266,-0.119030467716142,0.355732173313421
"267",267,0.121184722475391,0.132757347644619,-0.140572979913412,0.388965071184434
"268",268,0.0920641821389134,0.115048315486319,-0.137633763580196,0.321136509841881
"269",269,0.113111654005449,0.128552352554545,-0.14113597720227,0.371173487689344
"270",270,0.15424916360379,0.113568999558304,-0.0646154018641627,0.382736229469459
"271",271,0.156529426236891,0.115401090481099,-0.0651567567876605,0.389731543793454
"272",272,0.150567926913273,0.131303875738125,-0.104272474834598,0.415585100863661
"273",273,0.184604709799433,0.140830656474446,-0.086672800544246,0.469081308148449
"274",274,0.123139754093667,0.114963739068888,-0.102399276291486,0.354877937098359
"275",275,0.0865366817407528,0.120161023705422,-0.153730265726867,0.325058941484756
"276",276,0.129634013974877,0.142304388951834,-0.150518905676722,0.416454791725662
"277",277,0.173353799641153,0.15779126615349,-0.13152999480046,0.49337846701413
"278",278,0.0505814177151094,0.164065192216714,-0.281563557296217,0.372665699477183
"279",279,0.153446849832449,0.134096857424921,-0.106375278756366,0.425350969147352
