"","sex","verhoogde_tegemoetkoming","nis","age","population"
"210","M",TRUE,12014,"(85,110]",119.277465259922
"211","M",TRUE,12021,"(-1,5]",168.279563975547
"212","M",TRUE,12021,"(5,16]",421.551575741583
"213","M",TRUE,12021,"(16,50]",926.892665994221
"214","M",TRUE,12021,"(50,65]",458.137352438369
"215","M",TRUE,12021,"(65,85]",500.461640476411
"216","M",TRUE,12021,"(85,110]",131.401201373869
"217","M",TRUE,12025,"(-1,5]",675.563160282747
"218","M",TRUE,12025,"(5,16]",1438.44647127572
"219","M",TRUE,12025,"(16,50]",2871.11683471712
"220","M",TRUE,12025,"(50,65]",1171.53229598557
"221","M",TRUE,12025,"(65,85]",1148.88394439953
"222","M",TRUE,12025,"(85,110]",324.477293339314
"223","M",TRUE,12026,"(-1,5]",86.266117382728
"224","M",TRUE,12026,"(5,16]",214.492172333234
"225","M",TRUE,12026,"(16,50]",436.175252464919
"226","M",TRUE,12026,"(50,65]",229.638445565962
"227","M",TRUE,12026,"(65,85]",257.821745083281
"228","M",TRUE,12026,"(85,110]",59.173267169876
"229","M",TRUE,12029,"(-1,5]",64.0358288584984
"230","M",TRUE,12029,"(5,16]",164.701881430686
"231","M",TRUE,12029,"(16,50]",332.823297736483
"232","M",TRUE,12029,"(50,65]",187.378097953174
"233","M",TRUE,12029,"(65,85]",199.457787725053
"234","M",TRUE,12029,"(85,110]",46.7941062961058
"235","M",TRUE,12035,"(-1,5]",62.8981383677791
"236","M",TRUE,12035,"(5,16]",179.08921529046
"237","M",TRUE,12035,"(16,50]",346.024435570035
"238","M",TRUE,12035,"(50,65]",182.107460545818
"239","M",TRUE,12035,"(65,85]",188.189567800752
"240","M",TRUE,12035,"(85,110]",51.9861824251564
"241","M",TRUE,12040,"(-1,5]",161.033554548496
"242","M",TRUE,12040,"(5,16]",390.396110721866
"243","M",TRUE,12040,"(16,50]",669.775592654596
"244","M",TRUE,12040,"(50,65]",310.541090728842
"245","M",TRUE,12040,"(65,85]",309.324082079854
"246","M",TRUE,12040,"(85,110]",80.5135692663462
"247","M",TRUE,12041,"(-1,5]",92.9317211179861
"248","M",TRUE,12041,"(5,16]",224.429711388692
"249","M",TRUE,12041,"(16,50]",452.193998103791
"250","M",TRUE,12041,"(50,65]",235.0470305465
"251","M",TRUE,12041,"(65,85]",246.618572183904
"252","M",TRUE,12041,"(85,110]",59.6829666591274
"253","M",TRUE,13001,"(-1,5]",48.0027006829142
"254","M",TRUE,13001,"(5,16]",123.055671281829
"255","M",TRUE,13001,"(16,50]",247.13750233952
"256","M",TRUE,13001,"(50,65]",125.319073133048
"257","M",TRUE,13001,"(65,85]",128.550241631672
"258","M",TRUE,13001,"(85,110]",20.1588109310165
"259","M",TRUE,13002,"(-1,5]",13.096217881672
"260","M",TRUE,13002,"(5,16]",30.5802214456507
"261","M",TRUE,13002,"(16,50]",56.7134062455595
"262","M",TRUE,13002,"(50,65]",29.719327434736
"263","M",TRUE,13002,"(65,85]",36.1297943681836
"264","M",TRUE,13002,"(85,110]",4.88103262419828
"265","M",TRUE,13003,"(-1,5]",93.3290982751996
"266","M",TRUE,13003,"(5,16]",226.39815556792
"267","M",TRUE,13003,"(16,50]",459.07845440169
"268","M",TRUE,13003,"(50,65]",249.963065591461
"269","M",TRUE,13003,"(65,85]",247.412076562907
"270","M",TRUE,13003,"(85,110]",53.5611496008238
"271","M",TRUE,13004,"(-1,5]",63.9132451004211
"272","M",TRUE,13004,"(5,16]",144.460456182276
"273","M",TRUE,13004,"(16,50]",303.057346261638
"274","M",TRUE,13004,"(50,65]",157.752047086615
"275","M",TRUE,13004,"(65,85]",153.179801706452
"276","M",TRUE,13004,"(85,110]",24.2951036625982
"277","M",TRUE,13006,"(-1,5]",34.6284577401787
"278","M",TRUE,13006,"(5,16]",91.8770474454979
"279","M",TRUE,13006,"(16,50]",179.426708448097
